,单词,翻译,出现次数
500,dr,none,38
501,billion,n.十亿 ; 数以十亿计;大量;,38
502,written,adj.书面的;写成文字的;明显受到…影响;（感情）全挂在脸上;v.写( write的过去分词);写信;,38
503,contact,n.接触;触点;[医]（传染病）接触人;门路;vt.使接触;与…联系;与…通讯（或通话）;vi.联系，接触;,37
504,performance,n.表演;演技;表现;执行;,37
505,employees,n.雇工，雇员( employee的名词复数 );,37
506,potential,adj.潜在的，有可能的;[语法学]可能语气的，表示可能性的;有能力的;n.潜力，潜能;[物]电位，势能;潜能的事物;[语]可能语气;,37
507,trend,n.走向;趋向;时尚，时髦;vi.倾向;趋势;,37
508,continue,vi.持续;逗留;维持原状;vt.延期;使延伸;使持续;继续说;,37
509,nature,n.自然;天性;天理;类型;,37
510,history,n.历史，历史学;发展史;履历，经历;（某地的）沿革;,37
511,won,v.获胜，战胜（ win的过去式和过去分词 ）;,37
512,foreign,adj.外国的，外交的;外来的;不相干的;[医]异质的;,37
513,travel,n.旅行;进行;移动;漫游;vi.旅行;传送;前进，行进;[篮球]走步;vt.经过，通过;游历;,37
514,thinking,n.思考;想法，思想;意见;见解;adj.有思想的;有理性的;v.“think”的现在分词;,37
515,everyone,pron.每人，人人;,37
516,seems,v.好像，仿佛（ seem的第三人称单数 ）;,37
517,though,conj.虽然，尽管;即使;纵然;adv.可是，但是;不过;然而;话虽这样说;prep.但;,37
518,professional,adj.专业的;专业性的;职业的;n.专业人士;,37
519,result,n.结果;（尤指足球比赛的）胜利;[体]比分;成功实现的事;vi.发生，产生;归结为，导致;后果，终结;由…而造成[产生];,37
520,works,n.[机] 工厂，工场;工程;所有的事物;全套物品;作为（ work的名词复数 ）;v.（使）工作（ work的第三人称单数 ）;（使）运作;运转;（使）产生效果;,37
521,meal,n.餐，饭;进餐（时间）;〈英〉一次挤奶量;谷物粗粉（用作饲料或加工面粉）;vi.进餐;,37
522,rules,n.规程;规章;条例;守则(rule的复数);规则( rule的名词复数 );统治;习惯;尺;,37
523,including,none,36
524,store,n.商店;贮存物;仓库;大量;v.贮存;（在计算机里）存储;,36
525,digital,adj.数字的;数据的;手指的;指状的;n.手指;（钢琴等的）琴键;数字;,36
526,rich,adj.富有的;肥沃的;丰富多彩的;油腻的;,36
527,members,n.成员( member的名词复数 );分子;身体部位（尤指胳膊或腿）;,36
528,increasing,v.增加，增大，增多( increase的现在分词 );增强，增进;[缝纫]放（针）;增强;,36
529,community,n.社区;社会团体;共同体;[生态] 群落;,36
530,came,v.来( come的过去式 );到达;达到（认识、理解或相信的程度）;出生;,36
531,adults,n.成年的人或动物( adult的名词复数 );,36
532,facebook,vt.to look up someone's profile on the popular Internet social network Facebook.;n.脸谱;美国一个流行的大学生网站;每个用户在facebook上有自己的档案和个人页面;美国FACEBOOK是一只对高校学生开放的网站;,36
533,ideas,none,36
534,united,adj.统一的;联合的;团结一致的;[植]连生的;v.“unite”的过去式和过去分词;团结;（为某事）联合，联手，团结;,36
535,fall,v.落下;跌倒;减少;沦陷;n.落下;瀑布;秋天;减少;,36
536,total,adj.总计的（金额等）;全部的;完全的;绝对的;n.总计，总数;全体数量;vt.& vi.总计达，计算…的总数;,36
537,security,n.安全;保证，担保;保护，防护;有价证券;adj.安全的，保安的，保密的;,36
538,evening,n.傍晚;黄昏;晚会;晚年，衰退期，末期;adj.在晚上的;为晚上的;晚上用的;int.晚上好;,36
539,career,n.生涯;职业;事业;速度，全速;adj.作为毕生职业的;vi.全速前进，猛冲;,36
540,night,n.夜;晚上;（举行盛事的）夜晚;,36
541,positive,adj.积极的;确实的，肯定的;[数]正的;[医]阳性的;n.正面;正片;[语]原级形容词;[数]正量;,36
542,essential,adj.基本的;必要的;本质的;精华的;n.必需品;基本要素;必不可少的东西;,36
543,television,n.电视，电视机;电视节目;电视业;,36
544,warming,adj.（比赛前的）准备动作的，热身的;n.加温，升温;v.（使）变暖，被加热，暖和起来( warm的现在分词 );（使）变得更友好，变得更可爱;,36
545,suggest,vt.建议，提议;暗示;使想起;启示;,35
546,middle,n.中部，中间;腰部;中央;正中;adj.中部的;中央的;正中的;中间的;vt.把…放在中间;把…对折;vi.放在中间;对折;,35
547,against,prep.反对;对…不利;紧靠;以防;,35
548,quickly,adv.迅速地;立即;马上;,35
549,giving,n.礼物，给予物;v.给予，赠送( give的现在分词 );（与名词连用描述某一动作，意义与该名词相应的动词相同）;供给;交给;,35
550,cause,n.原因;动机;理由;事业;vt.成为…的原因;导致;引起;使遭受;,35
551,effect,n.影响;效果;印象;所有物;vt.使发生;引起;产生（效果）;,35
552,importance,n.重要性;重要地位，显著;骄傲，自大;,35
553,perhaps,adv.或许;（表示不确定）也许;（用于粗略的估计）或许;（表示勉强同意或其实不赞成）也许;n.假定;猜想;未定之事;,35
554,started,v.出发，启程( start的过去式和过去分词 );起动;提出（问题）;开办;,35
555,close,adj.紧密的;亲密的;亲近的;vt.关;结束;使靠近;vi.关;结束;关闭;adv.紧密地;n.结束;,35
556,credit,n.信誉，信用;[金融]贷款;荣誉;学分;vt.相信，信任;归功于;[会]记入贷方;赞颂;,35
557,manager,n.处理者，经理，管理人;干事，理事;〈美〉（政党等的）领袖;策士，干才，干练的人;,35
558,black,adj.黑（色）的;黑色人种的;黑暗的;不加牛奶的;n.黑色;黑人;黑颜料;黑暗;v.使变黑;抵制;拒绝;使变黑暗;,35
559,iii,none,34
560,resources,n.勇气;才智;谋略;有助于实现目标的东西;资源( resource的名词复数 );[复数]物力;办法;来源;,34
561,industry,n.工业;产业（经济词汇）;工业界;勤劳;,34
562,services,n.公共事业机构（或公司）;（提供技术或帮助的）服务;宗教礼仪;礼拜仪式;服务( service的名词复数 );公共机构;业务;服役;,34
563,knows,none,34
564,driving,n.操纵，驾驶;adj.推进的;强劲的;雨、雪等猛烈的;倾泻而下的;v.强迫( drive的现在分词);驱使;驱赶;消除;,34
565,phone,n.电话;听筒;（发声或使用声音的）工具;说某种语言的;vt.& vi.打电话（给某人）;,34
566,developed,adj.先进的;发达的（国家或地区）;,34
