,单词,翻译,出现次数
3500,lacking,none,5
3501,recommends,none,5
3502,bedroom,n.卧室，寝室;adj.<美>城郊住宅区的;两性关系的，男女性爱的;,5
3503,master,n.硕士;主人（尤指男性）;大师;男教师;vt.精通，熟练;作为主人，做…的主人;征服;使干燥（染过的物品）;adj.主要的;主人的;精通的，优秀的;原版的;,5
3504,enable,vt.使能够，提供做…的权利[措施];使可能;授予权利或方法;,5
3505,spacemen,n.太空船上的飞行员，宇宙人( spaceman的名词复数 );,5
3506,homogeneous,adj.同性质的，同类的;由相同（或同类型）事物（或人）组成的;均匀的;[数]齐性的，齐次的;,5
3507,significance,n.意义;意思;重要性;,5
3508,cartmill,none,5
3509,productivity,n.生产率，生产力;[经济学] 生产率;[生态学]生产率;,5
3510,channels,n.频道( channel的名词复数 );渠道;通道;海峡;,5
3511,operators,n.（某企业的）经营者( operator的名词复数 );（机器、设备等的）操作员;电话接线员;投机取巧者;,5
3512,loyalty,n.忠诚，忠实;忠心;忠于…感情;,5
3513,reaching,none,5
3514,inconvenient,adj.不方便的;打扰人的，麻烦的;不便;,5
3515,dependence,n.依赖，依靠;信任，信赖;[物]依存关系;依靠之物;,5
3516,extending,v.（空间、时间等）延伸，延续( extend的现在分词 );伸展;给予;延长;,5
3517,boston,n.波士顿（美国马萨诸塞州首府）;,5
3518,immigrants,n.移民( immigrant的名词复数 );,5
3519,rod,n.杆，拉杆;惩罚，体罚;（责打人用的）棍棒;手枪;,5
3520,forgot,v.忘记( forget的过去式 );不再想;忘记做（或带、买等）;不再考虑…的可能;,5
3521,adoption,n.采用，收养;,5
3522,eight,num.八;八个;第八;n.八;八人（或物）一组;八人划船队;adj.八个的;,5
3523,classrooms,n.教室，课堂( classroom的名词复数 );,5
3524,net,n.网;网状织物;球网;网罩;vt.用网捕;捕获;净赚;踢入球门;adj.净的;净得的;最后的;,5
3525,basically,adv.主要地;从根本上说;基本，基本上;总的说来;,5
3526,lesson,n.教训，训诫;功课;课程，一堂课;[宗]日课;vt.教训，训斥;教课;向…授课;,5
3527,publishers,n.出版者，出版商，出版社( publisher的名词复数 );,5
3528,capable,adj.能干的;有才能的;有才华的;能胜任的;n.有才能的，能干的;,5
3529,ceo,abbr.Chief Executive Officer 执行总裁;首席执行官;,5
3530,wash,vt.洗，清洗;浸湿;冲刷，冲击;洗去罪名;vi.耐洗;被洗掉（通常与 out 和 away 连用）;（波涛等）拍打;n.（尤指船过后划出的）水流;要洗的衣物的数量;薄涂层（尤指涂料）;vt.弄湿;使受洗礼;（光）布满;（猫等）舔净（自身）;adj.可洗的，耐洗的;（证券交易）虚假的;,5
3531,saleswoman,n.女售货员，女店员;,5
3532,produces,none,5
