,单词,翻译,出现次数
4000,pointing,n.弄尖，指示;勾缝;磨尖;,4
4001,continually,adv.不停地;持续地;屡屡地;一再地;,4
4002,appeared,v.出现( appear的过去式和过去分词 );出庭（作证或受审）;演出;发表;,4
4003,beside,prep.不中（目标），不对（题），与…无关;（表示排斥）除…之外;（表示位置）在…旁边，，在…一侧，在…附近;（表示关系）与…无关，和…相比，比起…来，比得上;adv.〈古〉同“besides”;,4
4004,lately,adv.近来，最近;不久以前;,4
4005,latter,adj.后者的;末了的;较后的;,4
4006,adapted,adj.适合的;v.（使）适应， （使）适合( adapt的过去式和过去分词 );改编，改写;改变…以适合(for);适应于，适应不同情况（或环境）(to);,4
4007,practiced,adj.熟练的;有经验的;精通的;习得的;,4
4008,curious,adj.好奇的; 好求知的;奇妙的; 稀奇的;,4
4009,meadville,none,4
4010,altogether,adv.全部地;完全地;总共;总而言之;n.〈口〉裸体;,4
4011,awarded,none,4
4012,selective,adj.精心选择的;选择的，不普遍的;淘汰的;,4
4013,rankings,n.地位，等级( ranking的名词复数 );某项体育运动的)最佳运动员排名表;,4
4014,inzer,none,4
4015,tuitions,none,4
4016,excellence,n.优秀，卓越;优点;美德;,4
4017,collection,n.收集，采集;征收;收藏品;募捐;,4
4018,unaffordable,adj.买不起的，负担不起的;,4
4019,terrific,adj.极好的;异乎寻常的;很大的;了不起的;,4
4020,fit,none,4
4021,frost,vt.& vi.使结冰霜;冻坏;（在蛋糕上）撒糖霜;vi.结霜;受冻;n.霜冻，结霜;严寒，寒冷;冷淡;,4
4022,adviser,n.顾问，劝告者;（美大学）指导教授，导师;,4
4023,arbitrarily,adv.任意地;武断地;反复无常地;肆意地;,4
4024,jacket,n.短上衣，夹克;土豆皮;书籍的护封;文件套，公文夹;vt.给…穿夹克;给…装护套;给…包上护封;〈口〉打;,4
4025,arrangements,n.安排( arrangement的名词复数 );布置好的东西;约定;安排方式;,4
4026,november,n.十一月;通讯中用以代替字母 n 的词;,4
4027,developmental,adj.发展的;促使成长的;进化的;,4
4028,rolling,adj.旋转的;波动的;起伏的;n.旋转;动摇;轰鸣;,4
4029,viewed,vt.看（view的过去式与过去分词形式）;,4
4030,fascination,n.魅力;迷恋;,4
4031,modest,adj.谦虚的，谦逊的;适度的，适中的;端庄的;羞怯的;,4
4032,outward,adj.向外的;外面的;公开的;[宗]肉体上的;adv.向外（等于outwards）;在外;n.外表;外面;物质世界;,4
4033,appointed,adj.指定的，约定的;v.任命( appoint的过去式和过去分词 );确定;约定;安排;,4
4034,overseen,v.监督，监视( oversee的过去分词 );,4
4035,enrolling,v.招收( enrol的现在分词 );吸收;入学;加入;[亦作enrol]( enroll的现在分词 );登记，招收，使入伍（或入会、入学等），参加，成为成员;记入名册;卷起，包起;,4
4036,operation,n.操作，经营;手术;[数]运算;作用;,4
4037,retired,adj.退休的，退职的，退役的;偏远的，幽静的;与世隔绝的;n.退休;v.退职，退役，（使）退休( retire的过去式);,4
4038,neighbors,n.<美>邻居，邻国( neighbor的名词复数 );v.<美>邻居，邻国( neighbor的第三人称单数 );邻近的，邻接的;,4
4039,formerly,adv.原来，原先;以前，从前;刚才;先头;,4
4040,transform,vt.改变;改观;变换;vi.改变;n.[数]变换式;,4
4041,hardship,n.艰难;困苦;艰难情况;造成困苦与苦难的原因;,4
4042,firstly,adv.第一，首先（主要用于列举条目、论点时）;,4
4043,seriousness,n.认真;严肃地;严重地;非常严肃地;,4
4044,appliances,n.器具，器械，装置( appliance的名词复数 );,4
4045,toy,n.玩具，玩物;小装饰品;无实用价值的东西;vi.玩弄;不认真地考虑;adj.玩具的;作玩具的;个头很小的;小体型品种的;,4
4046,ah,int.啊;,4
4047,register,n.登记，注册;记录;登记簿;自动记录器;vt.登记，注册;（仪表等）指示;表示，表达;（感情）流露;vi.登记，注册;留下印象;完全符合;[印刷]对齐;,4
4048,relaxation,n.消遣，放松;松懈，松弛;放宽;[生理]驰松;,4
4049,bacteria,n.细菌(bacterium的名词复数);,4
4050,probes,none,4
4051,confusing,adj.令人困惑的;混乱的;混淆的;v.使困窘，使混乱不清(confuse的现在分词);,4
4052,episode,n.插曲;片段;一集;一段经历;,4
4053,interpersonal,adj.人与人之间的;人际的;人与人之间的关系的;涉及人与人之间的关系的;,4
4054,doc,n.<口>医生;abbr.<口>医生;同 doctor;(j计算机) 文档;同 document;,4
4055,robotics,n.机器人技术;,4
4056,repetitive,adj.重复的，啰嗦的;复唱的;,4
4057,targets,none,4
4058,appreciation,n.欣赏；鉴赏;感谢;评估;增值;,4
4059,obstacle,n.障碍（物）;障碍物（绊脚石，障碍栅栏）;,4
4060,intention,n.意图，目的;意向;意义，意旨;[医]愈合;,4
4061,workshop,n.车间;专题讨论会，研究会;创作室;实习班，实验班;,4
4062,inclusiveness,none,4
4063,similarities,none,4
4064,courage,n.勇气;胆量;魄力;肝胆;,4
4065,unbearable,adj.难以忍受的，不能忍受的，经受不住的;承受不住的;,4
4066,ride,vt.& vi.乘，骑，驾;n.（乘坐汽车等的）旅行;乘骑;（乘车或骑车的）短途旅程;供乘骑的游乐设施;vt.（骑马、自行车等）穿越;搭乘;飘浮;,4
4067,swift,adj.迅速的;敏捷的;立刻的;突然发生的;n.雨燕;环球金融同业电讯会;[人]斯威夫特，《格利佛游记》作者;adv.迅速地，敏捷地;,4
4068,readily,adv.乐意地;快捷地;轻而易举地;便利地;,4
4069,develops,none,4
4070,cancelled,adj.被取消的;v.取消( cancel的过去式和过去分词 );废除;注销;删去;,4
4071,grand,adj.宏大的，宏伟的;（最）重要的;豪华的;n.一千美元;大钢琴;,4
4072,briefly,adv.短暂地;简单地;简略地;略略;,4
4073,designers,n.设计师( designer的名词复数 );图案设计师;打样师;制图员;,4
4074,inspired,adj.有创造力的;品质优秀的;有雄心壮志的;（与名词、形容词以及副词构成形容词）受…影响的;v.鼓舞( inspire的过去式和过去分词 );激励;赋予某人灵感;启迪;,4
4075,roughly,adv.粗略地;大体上;大致上;粗暴地;,4
4076,pacific,adj.和平的，爱好和平的，太平的;平静的;平时的;太平洋的;,4
4077,deliver,vt.发表;递送;交付;使分娩;vi.投递;传送;,4
4078,occasionally,adv.偶尔;偶然;有时候;,4
4079,surge,n.汹涌;大浪，波涛;v.汹涌;起大浪，蜂拥而来;,4
