,单词,翻译,出现次数
1500,indicates,none,13
1501,ground,n.地面，土地;基础;范围;阵地，战场;vi.搁浅，停飞;着陆;vt.把…放在地上;在…的基础树立上;交给…基本知识;使…受初步训练;v.grind的过去式和过去分词;,13
1502,deeply,adv.在深处;浓浓地;强烈地;精心地;,13
1503,everybody,pron.每人，人人;大伙儿;各位;,13
1504,powerful,adj.强大的;权力大的;（药）有效地;adv.很;非常;,13
1505,moment,n.瞬间，片刻;时刻;重要，紧要;[物]力矩;,13
1506,saving,n.节约;节俭;储蓄金;挽救;v.拯救( save的现在分词);收集;保留;避免;prep.除…以外;adj.可取的，保存的;节省的，节约的;补偿的;救助的;,13
1507,types,n.类型;类型( type的名词复数 );铅字;（印刷或打印的）文字;于…类型的;v.打字;打字( type的第三人称单数 );[医学]测定（血型）;按类型把…归类;成为…的典型;,13
1508,nicotine,n.尼古丁;[化]烟碱;,13
1509,quitting,v.离开（quit的现在分词形式）;放弃;停止;,13
1510,packaging,n.包装;包装材料;包装风格;打包;v.包装(package的ing形式);,13
1511,scores,n.大量，众多;二十( score的名词复数 );（游戏或比赛中的）得分;大量;百分数;,13
1512,tough,adj.坚强的，坚韧的，不屈不挠的;艰苦的，困难的，难办的;牢固的，强壮的;粗暴的;n.粗暴的人;暴徒，恶棍;vt.<口>忍耐，忍受（常与out连用）;adv.强硬地，顽强地;以强硬的态度;,13
1513,stolen,v.偷( steal的过去分词 );悄悄地做，悄悄地走;,13
1514,division,n.分开，分隔;[数]除法;部门;[军]师;,13
1515,struggle,vi.搏斗;奋斗;努力;争取;n.打斗;竞争;奋斗;,13
1516,domestic,adj.家庭的，家的;国内的;驯养的;热心家务的;n.佣人;国货;,13
1517,divorce,n.离婚;分离;vt.与…离婚;分离;vt.& vi.与（某人）离婚，判（某人）离婚;,13
1518,housing,n.房屋;供给住宅;掩护;外罩;,13
1519,loan,n.贷款;借款;借用;vt.借，借给;vi.借出;,13
1520,vice,n.恶习;不道德行为;（肉体的）缺陷，疾病;（文体等的）缺点，瑕疵;prep.代替;取代;adj.副的;代替的;vt.用老虎钳夹紧;钳制;,13
1521,guidelines,n.指导方针;指导原则;行动纲领;参考;指导方针( guideline的名词复数 );指导原则;行动纲领;准则;,13
1522,hands,none,13
1523,thinks,none,13
1524,clothes,n.衣服，衣物;寝具;v.穿（衣）( clothe的第三人称单数);给…提供衣服;（用语言）表达;覆盖;,13
1525,causes,n.原因( cause的名词复数 );动机;（某种行为、感情等的）理由;缘故;,13
1526,consumer,n.消费者，顾客;[生态]取食者，食物链中以其他生物为食物的生物;,13
1527,handle,n.（织物、毛皮等的）手感;手柄;举动;柄状物;vi.操作，操控;容易搬运;vt.用双手触摸、举起或握住;用手操作，操纵;处理或负责，管理;〈美〉买卖，经营;,13
1528,meaning,n.意思，意义;含义;意图;adj.有意思的;意味深长的;vt.意味(mean的现在分词);意思是;,13
1529,assignment,n.分给，分配;任务，工作，（课外）作业;<美>任命;指定，委派;,13
