,单词,翻译,出现次数
4500,mornings,adv.<美>在早晨，在上午，任何一个早晨[上午];n.早晨( morning的名词复数 );午夜至正午的时间;在上午;在早晨;,3
4501,advisers,n.顾问，劝告者( adviser的名词复数 );<美>（指导大学新生学科问题等的）指导教授;,3
4502,thirds,n.第三( third的名词复数 );三分之一;,3
4503,superintendents,n.警长( superintendent的名词复数 );（大楼的）管理人;监管人;（美国）警察局长;,3
4504,determining,v.（使）下决心， （使）做出决定( determine的现在分词 );决定;确定;使决定;,3
4505,workload,n.（某一人或组织）工作量，工作负担;,3
4506,canteen,n.小卖部;食堂，小饭馆;水罐;餐具盒，炊具箱;,3
4507,kfc,none,3
4508,casually,adv.偶然地;无意地;未经考虑地;漫不经心地;,3
4509,pure,adj.纯的;单纯的;纯真的;干净的;prep.清晰的，纯正的;,3
4510,scratch,vt.擦，刮;擦痛，擦伤;在…处搔痒;抓破;vi.发出刮擦声;擦红，擦伤;搔痒;抓，扒;n.擦，刮;刮擦声;搔痕;乱写乱画;adj.打草稿用的，随便写用的;碰巧的，侥幸的;东拼西凑的;平等比赛的;,3
4511,gambling,n.赌博，赌钱;冒险;投机;v.赌博，冒风险(gamble的现在分词);,3
4512,rival,n.对手;竞争者;vt.与…竞争;比得上某人;vi.竞争;adj.竞争的;,3
4513,locations,n.位置，场所( location的名词复数 );发现[找出]…的位置[地点];外景（拍摄地）;,3
4514,friendships,n.友情( friendship的名词复数 );友谊;朋友关系;,3
4515,backgrounds,n.（画等的）背景( background的名词复数 );背景情况;底色;个人背景资料;,3
4516,garage,n.车库;汽车修理站;飞机库;vt.把…送入车库;把（汽车）开进车库;,3
4517,robberies,none,3
4518,burglaries,none,3
4519,god,n.上帝，造物主;被极度崇敬的人[物];男神;戏院顶层楼座观众;vt.膜拜;崇拜;,3
4520,assistance,n.帮助，援助;〈古〉出席，出席者;辅助设备;,3
4521,financially,adv.财政上，金融上，经济上;,3
4522,gather,vt.收集;聚集，搜集;收紧，收缩;采集;vi.逐渐增加，积聚;n.聚集;衣褶;,3
4523,impulse,n.凭冲动行事;突如其来的念头;[电子]脉冲;[医]冲动，搏动;adj.冲动的;v.推动;,3
4524,ruined,adj.毁灭的;堕落的;破产的;v.破坏( ruin的过去式);毁掉;使破产;使沦落;,3
4525,stands,none,3
4526,names,n.名字( name的名词复数 );名声;有…名称的;著名的人物;v.确定( name的第三人称单数 );决定;给…取名;说出…的名字;,3
4527,schrage,none,3
4528,satisfying,none,3
4529,original,adj.原始的;独创的;最初的;新颖的;n.原文;原型;原件;怪人;,3
4530,senator,n.参议员;,3
4531,handy,adj.方便的;手边的，附近的;便于使用的;手巧的;,3
4532,banning,none,3
4533,abused,none,3
4534,disagreements,n.分歧，意见不合( disagreement的名词复数 );,3
4535,denying,none,3
4536,marital,adj.婚姻的，夫妻（间）的;,3
4537,sympathetic,adj.同情的，有同情心的;赞同的;相投合的，称心的;〈口〉抱好感的;,3
4538,ages,none,3
4539,intervals,n.[军事]间隔( interval的名词复数 );间隔时间;[数学]区间;（戏剧、电影或音乐会的）幕间休息;,3
4540,exclusive,adj.专用的;高级的;排外的;单独的;n.独家新闻;专有物;独家经营的产品（或项目、设计等）;排外者;,3
4541,inquire,vt.& vi.打听，询问;查究;,3
4542,objective,adj.客观的，实体的;目标的;[语]宾格的;[医]他觉的;n.目标，任务;[光]物镜;[语]宾语，宾格;[事]出击目标;,3
4543,packed,adj.充满…的;塞满了…的;v.包装(pack的过去式和过去分词);,3
4544,responding,v.回答，回报，响应( respond的现在分词 );有反应;有效果;有影响;,3
4545,emergencies,n.紧急事件，紧急需要;紧急情况，不测事件，非常时刻( emergency的名词复数 );以备万一;,3
4546,volume,n.量，大量;体积;音量;卷;adj.大量的;vi.成团卷起;vt.把…收集成卷;,3
4547,proof,n.证明;校样;检验;（酒的）标准酒精度;adj.防…的;抗…的;能抵御;能防范;vt.给（织物）做防护处理，使防水（或防火等）;印…的校样;vi.[印刷术] 校对;发酵;,3
4548,hobby,n.业余爱好;嗜好，兴趣;小马;,3
4549,historically,adv.从历史角度;在历史上;以历史观点;根据历史事实;,3
4550,mountainous,adj.多山的;巨大的;山一般的;,3
4551,boarding,n.木板（建造之物）;寄膳（宿）;用木板制成的物体;上船（或火车、飞机等）;v.上（船、车或飞机）( board的现在分词 );收费供…膳宿;强行登（船）;使搭伙;,3
4552,nonetheless,adv.虽然如此，但是;,3
4553,realization,n.认识，领会;实现;,3
4554,glad,adj.高兴的，乐意的;令人高兴的，使人愉快的;（风光）明媚的，（景色）美丽的;充满欢乐的，兴高采烈的;vt.使高兴;,3
4555,intend,vt.意欲，计划;为特殊目的而设计;为特定用途而打算;意指或意味;vi.怀有某种意图或目的;,3
4556,discoveries,none,3
4557,humorous,adj.幽默的;滑稽的;风趣的;谐;,3
4558,follows,v.跟随，接着( follow的第三人称单数 );继承;（按时间、顺序等）接着;从事;,3
4559,affects,none,3
4560,fails,none,3
4561,violation,n.违反，妨碍，侵犯;违犯，违背;[体]违例，犯规;强奸，亵渎，污辱;,3
4562,ignorance,n.无知，愚昧;蒙;,3
4563,checking,n.校核，校[检]验，检查，核算，验算;v.检查，核对( check的现在分词 );阻止;存放;托运（行李）;,3
4564,believing,adj.有信仰的;v.相信( believe的现在分词 );认为;以为;对…信以为真;,3
4565,punishment,n.刑罚，惩罚;严厉对待;<口>给吃苦头;,3
4566,farther,adv.更远地;较远地;在更大程度上;进一步;adj.更远的;远的( far的比较级);遥远的;（某方向的）最远的;,3
4567,slippery,adj.狡猾的;滑溜的;不可靠的;,3
4568,pressured,none,3
4569,destructive,adj.破坏性的;毁灭性的;有害的;,3
4570,scandal,n.丑闻，丑名，丑事，丑行，丢脸的事件，舞弊案件，耻辱;流言蜚语;闲话;诽谤;,3
4571,sum,n.总数;算术;金额;概略，要点;vt.& vi.总计;总结，概括;归纳;,3
4572,sees,none,3
4573,dearly,adv.深深地;昂贵地;,3
4574,camping,n.野营，露营;,3
4575,picnic,n.野餐郊游;供野餐吃的食品;猪的肩肉;轻松的工作;vi.去野餐，参加野餐;野餐式地用餐;在户外用餐;vt.用野餐招待;,3
4576,scholarship,n.奖学金;学术;学识;,3
4577,taxlong,none,3
4578,handling,n.处理;（手的）触摸;费用;（机动车辆的）操纵;adj.操作的;v.操作( handle的现在分词 );容易╱难以)驾驶;操纵;行动;,3
4579,cloth,n.布，织物;一块布;用作某种用途的布，桌布，擦布，揩布;（统称）牧师;,3
4580,interdependence,n.互相依赖;互赖;,3
4581,marvelous,adj.引起惊异的;不可思议的;非凡的;神乎其神;,3
4582,warned,none,3
4583,tailor,n.裁缝，成衣工;vi.做裁缝;vt.调整使适应;为…裁制衣服;为…做衣服;剪裁，制作;,3
4584,abigail,none,3
4585,virginia,n.维吉尼亚;,3
4586,reinforce,vt.加固;强化;增援;vi.求援;得到增援;给予更多的支持;n.加强;加固物;加固材料;,3
4587,academically,adv.从学术观点;关于学院或大学;关于学会或协会;以学者风度;,3
4588,tailored,adj.剪裁讲究的;（衣服）订做的;合身的;特制的;v.裁制( tailor的过去式和过去分词 );调整使适应;,3
4589,sharper,n.磨具，削具，（赌博中的）骗子;adj.清晰;灵敏的( sharp的比较级 );锋利的;狡猾的;轮廓鲜明的;,3
4590,grateful,adj.感激的，感谢的;令人愉快的;宜人的;荷;,3
4591,arguing,v.争吵，辩论( argue的现在分词 );坚决主张;提出理由证明;说服;,3
4592,repeated,adj.反复的，再三的，重复的;累;频仍;,3
4593,finances,n.资金，经费;v.为…供给资金，从事金融活动( finance的第三人称单数 );,3
4594,dignity,n.尊严;高尚;自豪;自尊;,3
