,单词,翻译,出现次数
2500,cutting,adj.锋利的，锐利的;刺骨的，像刀割似的;讽刺的，挖苦的;n.切割;剪报，剪辑;[园]插枝;开凿;v.切开(cut的现在分词);削减;采伐;,7
2501,giant,n.巨人，大汉;巨兽，巨物;卓越人物;adj.特大的，巨大的;伟大的;,7
2502,girlfriend,n.女朋友;女性朋友;,7
2503,birthday,n.生日;诞辰;成立纪念日;,7
2504,whereas,conj.鉴于;然而;反之;n.“鉴于…”：正式文件的介绍性陈述，开场白;条件性陈述;,7
2505,initial,adj.最初的;开始的;首字母的;n.首字母;[语音学]声母;特大的大写字母;vt.用姓名的首字母签名;,7
2506,stronger,adj.更强壮的;强的( strong的比较级 );坚强的;强烈的;强壮的;,7
2507,youth,n.年轻;青年，小伙子;初期，少年（青年）时期;〈集合词〉青少年们;,7
2508,lay,vt.放置;铺放;涂，敷;产卵;adj.世俗的;外行的;没有经验的;n.叙事诗;性伙伴;,7
2509,exciting,adj.使人兴奋的，令人激动的;v.刺激（excite的现在分词）;,7
2510,formed,adj.成形的，成形加工的;v.形成，构成，产生( form的过去式和过去分词 );是;（使）成形;结成（友谊）;,7
2511,described,adj.被看到的，被发现的;v.描写( describe的过去式和过去分词 );叙述;画出（图形等）;形容;,7
2512,aged,adj.老年的，陈年的;（食品、酒等）陈年的;（动物）达到几岁龄的;老年人特有的;v.“age”的过去式和过去分词;使显老，使苍老;,7
2513,relax,vt.& vi.（使）轻松;（使）松弛;放宽;（使）放松;vt.缓和，减轻;（使大便等）通畅;vi.变得轻松;变得随和;变得和蔼;通便;,7
2514,harvest,n.收割;收获季节;收成;结果;vt.& vi.收割，收成;vt.收到;收割（庄稼），捕猎（动物、鱼）;,7
2515,greek,n.希腊人;希腊语;难懂的事;adj.希腊的，希腊人的;希腊语的;,7
2516,contemporary,adj.当代的，现代的;同时代的，同属一个时期的;n.同代人;同辈人;同龄人;当代人;,7
2517,walking,n.步行，散步;步法，步态;道路状态;adj.步行（用）的;（能）行走的;解雇的，被免职的;v.走，步行( walk的现在分词);,7
2518,elaborate,vi.详尽说明;变得复杂;vt.详细制定;详尽阐述;[生理学]加工;尽心竭力地做;,7
2519,final,adj.最后的，最终的;决定性的;不可更改的;n.结局;决赛;期末考试;〈口〉（报纸的）末版;,7
2520,yangtze,none,7
2521,tom,n.雄动物，雄猫;,7
2522,brown,adj.棕色的;褐色的;被晒黑的;未去壳的;n.褐色;棕色;v.变成棕色;成褐色;晒黑;烤得焦黄;,7
2523,strange,adj.陌生的，生疏的;奇怪的，古怪的;疏远的;外国的;adv.奇怪地;陌生地;冷淡地;,7
2524,onto,prep.到…之上;对…了解;[数]映射到…上;adj.映射的;自身的;映成的;,7
2525,palm,n.手掌;手心;棕榈树 ;由Palm公司发明的一种PDA上的操作系统;v.将…藏于掌中;,7
2526,meter,n.计量器;计量仪;v.用仪表测量;,7
2527,previously,adv.事先;以前;仓促;“previous”的派生;,7
2528,tissue,n.薄纸，棉纸;[生]组织;一套;,7
2529,fly,vi.飞;飞行;（旗）飘荡;过得快;vt.& vi.乘（…的）飞机;驾驶（飞机等）;vt.驾驶;空运;使飞翔;操作;n.苍蝇;（作钓饵的）苍蝇;（裤子的）前裆开口;门帘;,7
2530,turns,v.（使）转动( turn的第三人称单数 );旋转;（使）改变方向;（使）不适;,7
2531,expressions,n.表情( expression的名词复数 );表示;（数学）表达式;词;,7
2532,facial,adj.面部的;面部用的;表面的;n.美容;面部按摩;,7
2533,strategy,n.策略，战略;战略学;,7
2534,screen,n.屏幕;银幕;屏风;vt.掩藏;庇护;检查;放映;,7
2535,displayed,v.显示( display的过去式和过去分词 );陈列;张开;泄露;,7
2536,consume,vt.消耗，消费;耗尽，毁灭;吃光，喝光;烧毁;,7
2537,stable,adj.稳定的;沉稳[持重]的;[物理学]稳定平衡的;持久的;n.厩，马厩，马棚，牛棚;畜舍;统称某人拥有（或训练的）赛马;在同一地方工作或训练的)一批人;vt.使关进畜舍（或马厩、牛棚等），使放入马厩般的室内;vi.被关在畜舍内，（人）生活在厩一般的地方;,7
2538,stimulate,vt.刺激;激励，鼓舞;使兴奋;vi.起兴奋作用;起促进作用;起刺激作用;,7
2539,husband,n.丈夫;〈英〉管家;〈古〉节俭的管理人;船舶管理人;vt.节俭地使用;〈罕〉做…的丈夫;,7
2540,signals,none,7
2541,instant,n.瞬间，顷刻;此刻;当月;速食食品，即溶饮料;adj.立即的;迫切的;正在考虑的，目前的;即食的;,7
2542,gained,v.获得( gain的过去式和过去分词 );赢得;增加;（钟、表）走快;,7
2543,luxury,n.奢侈，豪华;奢侈品，美食，美衣;乐趣，享受;不常有的乐趣（或享受、优势）;adj.奢华的，豪华的;,7
2544,unnecessary,adj.不必要的，多余的;无用的，无益的;无须;,7
2545,decreased,none,7
2546,replacement,n.代替;归还，，复位;替代者;补充兵员;,7
2547,stated,adj.定期的，规定的，一定的;v.规定( state的过去式和过去分词 );陈述;确定;[法律]详述（案情等）;,7
2548,preference,n.偏爱;优先权;偏爱的事物;（债权人）受优先偿还的权利;,7
2549,misleading,adj.误导性的;骗人的;引入歧途的;,7
2550,belief,n.信，信任;信念，意见;信条;,7
2551,station,n.车站;所，局;身份;电视台;vt.配置，安置;驻扎;,7
2552,fifty,n.五十个人;五十岁;五十年代;编号为五十的东西;num.五十;五十个;adj.五十的;五十个的;许多的;,7
2553,neighborhoods,n.地区( neighborhood的名词复数 );某地区的人;与某处邻近的地区;临近街坊;,7
2554,gates,none,7
2555,ended,none,7
2556,homework,n.家庭作业;功课;,7
2557,demanding,adj.要求高的;苛求的;强求的;费力的，吃力的;v.要求(demand的ing形式);查问;,7
2558,biology,n.生物学;生物;,7
2559,goal,n.目标，目的;球门;终点;得分;,7
2560,admitted,adj.被承认的，被确认无疑的;v.许可进入( admit的过去式和过去分词 );承认，供认;允许;确认;,7
2561,examination,n.检查;考试;询问，审问;,7
2562,pants,none,7
2563,factory,n.工厂，制造厂;<古>代理店;,7
2564,mutual,adj.共有的;共同的;相互的;彼此的;,7
2565,sustain,vt.维持;支撑，支持;遭受，忍受;供养;,7
2566,steady,adj.稳定的，不变的;镇定的，沉着的;坚定的;vt.使稳定，使坚定;n.关系固定的情侣;,7
2567,millions,n.数百万;百万( million的名词复数 );,7
