,单词,翻译,出现次数
1000,president,n.校长;总统;总裁;董事长;,20
1001,effects,n.动产，财物，家财;结果( effect的名词复数 );效果;感受;个人财产;,20
1002,responsible,adj.尽责的;承担责任;负有责任的;懂道理的;,20
1003,hurt,vt.损害;使受伤;使伤心;使受皮肉之苦;vi.疼痛;感到疼痛;受痛苦;有坏处，有害;n.伤害;痛苦;adj.受伤的;痛苦的;（受）损坏的;,20
1004,apartment,n.寓所，住房;房间;公寓楼;（有特殊用途或专属某人的）豪华寓所;,20
1005,stem,n.（花草的）茎;词干;（高脚酒杯的）脚;烟斗柄;vt.遏制[阻止]（液体的流动等）;阻止;封堵;遏止;,20
1006,responsibilities,none,20
1007,grain,n.谷物，粮食;（沙，金，盐等的）颗粒;谷粒，籽粒;（木材，大理石等的）纹理;vt.把…作成细粒;把…漆[画]成木纹;染透;刮去（皮上的）毛;vi.成谷粒;,20
1008,jane,n.简（女子名）;,20
1009,earth,n.地球;陆地;泥土;兽穴;vt.把（电线）接地;盖（土）;追赶入洞穴;vi.躲进地洞;,20
1010,drink,vt.& vi.喝（酒）;饮;喝酒;（尤指）酗酒;vt.吸收，吸入;n.酒，饮料;酒宴;一杯或一份酒;,20
1011,doctor,n.医生，大夫;博士;神学家;医疗设备;vt.& vi.医疗，行医;vt.修理，装配;假造;搀杂;修改，修饰;,20
1012,retirement,n.退休，退职;引退，隐居;退隐处;,20
1013,feelings,n.感情;情绪;心情;情感;感觉( feeling的名词复数 );感情;同情;知觉;,20
1014,pre,none,20
1015,mobile,adj.可移动的;行动自如的;易变的;流动性的;n.风铃;手机;,20
1016,sunscreen,n.（防晒油中的）遮光剂;防晒霜;,20
1017,features,n.特征( feature的名词复数 );特写;[复数]面貌;面貌的一部分（如眼、鼻、口等）;,19
1018,millennials,none,19
1019,harvard,none,19
1020,achieve,vt.取得;获得;实现;成功;vi.达到预期的目的，实现预期的结果，如愿以偿;,19
1021,case,n.（实）例，事例;情况，状况;诉讼（事件），案件，判例;容器（箱，盒）;vt.把…装入箱（或盒等）内;加盖于;包围，围住;[俚语]（尤指盗窃前）探察，侦查，窥测;,19
1022,board,n.板;董事会;甲板;膳食;vt.上（船、车或飞机）;收费供…膳宿;使搭伙，使寄宿;强行登（船）;vi.（火车、轮船、飞机等）接受乘客;搭伙，寄宿;,19
1023,becoming,adj.<正>（衣服等）相配的;合身的;合适的;与…相称的;n.<哲>（变化过程的）形成，发生;v.变为，成为( become的现在分词 );适合;使（人）显得漂亮;使好看;,19
1024,york,vt.（板球）使击球员出局;,19
1025,moving,adj.活动的，可移动的;搬家的，搬运的;感人的;v.move的现在分词;,19
1026,promote,vt.促进，推进;提升，助长;促销;使（学生）升级;vi.成为王后或其他大于卒的子;,19
1027,previous,adj.先前的;以前的;过早的;（时间上）稍前的;adv.在先，在…以前;,19
1028,gradually,adv.逐步地，渐渐地;按部就班地;日趋;冉冉;,19
1029,tired,adj.疲倦的;困倦的;对…不耐烦的;陈旧的;v.（使）疲劳（ tire的过去式和过去分词）;对（做）某事感到厌倦;,19
1030,behind,prep.（表示位置）在…的后面;支持;（表示顺序）在身后;（表示比较）落后于;adv.在后面;向后;在后面较远处;（落）在后面;n.〈口〉屁股;,19
1031,turned,v.（使）转动( turn的过去式和过去分词 );旋转;（使）改变方向;（使）不适;,19
1032,larger,adj.大的，多量的;大的( large的比较级 );大规模的;众多的;（服装、食物、日用品等）大型号的;,19
1033,application,n.适用，应用，运用;申请，请求，申请表格;勤勉，用功;敷用，敷用药;,19
1034,purchase,v.购买;采购;换得;依靠机械力移动;n.购买;购买行为;购置物;紧握;,19
1035,interesting,adj.令人感兴趣的，有趣的;引起兴趣的;有趣的;令人关注的;,19
1036,graduate,vi.渐变;渐渐变为（与into连用）;渐渐消逝（与away连用）;取得资格（与as连用）;vt.授予学位或毕业证书;从…接受学位;分成等级;标以刻度;n.<美>毕业生;<英>大学毕业生;（已经取得学士学位正在攻读高级学位的）研究生;量筒;adj.<美>毕业了的，研究生的;有（学士）学位的;,19
