,单词,翻译,出现次数
3000,australian,n.澳大利亚人;adj.澳大利亚的;澳大利亚人的;,6
3001,functions,n.功能( function的名词复数 );依赖别事物的事物;函数;官能;,6
3002,positively,adv.明确地;断然地;肯定地;,6
3003,fight,vt.& vi.战斗;斗争;打架;吵架;n.打架;吵架;战斗;斗志;,6
3004,yielded,none,6
3005,dramatically,adv.戏剧性地，引人注目地;,6
3006,lies,none,6
3007,puts,v.放( put的第三人称单数 );表达;给予（重视、信任、价值等）;使处于（某种状态）;,6
3008,feasible,adj.可行的;可用的;可实行的;可能的;,6
3009,award,vt.授予，奖给，判给;判归，判定;n.奖品;（仲裁人、公断人的）裁定;（法院、法官的）判决;裁定书;,6
3010,examining,v.仔细检查( examine的现在分词 );考试;审查;,6
3011,institutional,adj.由来已久的; 习以为常的; 公共机构的; 慈善机构的;,6
3012,hamilton,none,6
3013,benefited,none,6
3014,entirely,adv.完全地;完整地;全部地;彻底地;,6
3015,meanwhile,adv.同时，其间;n.其时，其间;,6
3016,lowest,adj.最低的，最底下的，最小的;,6
3017,musical,adj.音乐的，用于音乐的;喜爱[精通]音乐的;音调优美的;悦耳的;n.（社交性的）音乐会;[影视]歌舞片;音乐（喜）剧 = musical comedy;,6
3018,tutor,n.家庭教师;导师;（大专院校的）助教;课本;vt.& vi.当家庭教师;任大学导师;任课;,6
3019,signed,adj.有符号的，有正负之分的;,6
3020,thursday,n.星期四，礼拜四，周四;[电影]惊爆星期四;,6
3021,registration,n.登记，注册;挂号;登记（或注册、挂号）人数;<音>（管风琴）音栓配合（法）;,6
3022,jupiter,n.木星;,6
3023,encourages,none,6
3024,manually,adv.用手地，手工地;,6
3025,factual,adj.事实的，真实的;根据事实的;确凿的;,6
3026,composition,n.作文，作曲;创作;构图，布置;妥协，和解;,6
3027,tempered,adj.调节的，缓和的;调和的;温和的;适中的;,6
3028,chancellor,n.大臣;（某些美国大学的）校长;（德国或奥地利的）总理;（英国大学的）名誉校长;,6
3029,hungry,adj.饥饿的;渴望的，渴望得到;（统称）饥民;荒年的，不毛的;,6
3030,foreigners,n.外国人( foreigner的名词复数 );外来人，外地人;老外;蕃;,6
3031,practices,none,6
3032,establishing,none,6
3033,adjust,vt.& vi.（改变…以）适应，调整，校正;调准（望远镜等），对准，校正，校准（机械等）;核算（盈亏）;[保]评定（赔偿要求）;,6
3034,considerable,adj.相当大（或多）的;该注意的，应考虑的;,6
3035,revise,vt.修订;改变;修正;[主英国英语]复习;vt.& vi.复习;vi.修订，校订;n.修订;校订;[印刷]校样，清样;修订版，修订本;,6
3036,stars,abbr.specialized training and reassignment students 经过专门训练后再分配的学生;stationary automotive road stimulator (Toyota) 汽车公路固定刺激物（丰田汽车）;n.星( star的名词复数 );明星;（尤指旅馆或餐馆的）星级;星象（根据人出生时天体的位置而描述的命运）;,6
3037,goodbye,n.再见;,6
3038,appreciate,vt.感激;欣赏;领会;鉴别;vi.（使）增值，涨价;,6
3039,cancers,n.癌( cancer的名词复数 );迅速蔓延的恶劣的或危险的事物;,6
3040,beneficial,adj.有利的，有益的;[法]可享受利益的;,6
3041,admire,vt.赞赏;称赞;欣赏;<美口>想要;,6
3042,hasn,none,6
3043,telling,adj.有效的;显著的;生动的;说明问题的;v.讲述( tell的现在分词);告诉;,6
3044,organize,v.组织;安排;规划;建立组织;,6
3045,mission,n.代表团;使命;官方使命;布道所;v.给…交代任务;派遣;把任务交给;向…传教;,6
3046,fabrics,n.织物( fabric的名词复数 );布;构造;（建筑物的）结构（如墙、地面、屋顶）：质地;,6
3047,falls,v.降低( fall的第三人称单数 );来临;成为;降落;,6
3048,shake,vt.动摇;摇头;使发抖;使心绪不宁[烦恼，惊吓];vi.摇（出），抖（掉）;握手;（嗓音）颤抖;n.摇动;震动;哆嗦;混合饮料;,6
3049,fourth,n.第四;月的第四日;四分之一;第四音级;adj.第四的;四分之一的;num.第四;,6
3050,visiting,none,6
3051,fiction,n.小说，虚构的文学作品;虚构的或想像出的事，并非完全真实的事;编造，虚构;,6
